Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
15/04/2023,Botafogo,2x1,São Paulo,36.9 %,27.9 %,35.2 %
15/04/2023,Palmeiras,2x1,Cuiabá,74.0 %,18.6 %,7.4 %
15/04/2023,Red Bull Bragantino,2x1,Bahia,56.7 %,23.7 %,19.6 %
15/04/2023,Atlético MG,1x2,Vasco,55.1 %,25.9 %,19.0 %
15/04/2023,Athletico PR,2x0,Goiás,61.1 %,22.7 %,16.2 %
15/04/2023,Fortaleza,1x1,Internacional,44.9 %,25.2 %,30.0 %
15/04/2023,América MG,0x3,Fluminense,31.0 %,25.5 %,43.5 %
16/04/2023,Flamengo,3x0,Coritiba,73.0 %,18.8 %,8.2 %
16/04/2023,Corinthians,2x1,Cruzeiro,56.7 %,26.4 %,16.8 %
16/04/2023,Grêmio,1x0,Santos,59.5 %,24.1 %,16.4 %
22/04/2023,Fluminense,2x0,Athletico PR,61.0 %,21.4 %,17.6 %
22/04/2023,São Paulo,3x0,América MG,53.2 %,25.1 %,21.7 %
22/04/2023,Cruzeiro,1x0,Grêmio,29.9 %,28.1 %,42.0 %
22/04/2023,Cuiabá,1x1,Red Bull Bragantino,44.4 %,25.3 %,30.2 %
23/04/2023,Coritiba,0x3,Fortaleza,20.0 %,22.7 %,57.2 %
23/04/2023,Vasco,2x2,Palmeiras,29.6 %,25.8 %,44.6 %
23/04/2023,Santos,0x0,Atlético MG,38.0 %,28.6 %,33.4 %
23/04/2023,Goiás,3x1,Corinthians,32.4 %,29.3 %,38.3 %
23/04/2023,Internacional,2x1,Flamengo,46.2 %,25.7 %,28.2 %
24/04/2023,Bahia,1x2,Botafogo,28.7 %,28.7 %,42.5 %
29/04/2023,Palmeiras,2x1,Corinthians,53.2 %,25.7 %,21.1 %
29/04/2023,Santos,3x2,América MG,43.4 %,27.8 %,28.9 %
29/04/2023,Red Bull Bragantino,0x3,Cruzeiro,44.7 %,26.7 %,28.6 %
29/04/2023,Atlético MG,2x1,Athletico PR,43.6 %,28.5 %,27.9 %
